publication_year,paper_age,title_length,abstract_length,keyword_count,concept_count,has_doi,title_word_count,abstract_word_count,title_to_abstract_ratio,text_richness,recency_score,abstract_keyword_overlap,publication_year_norm,is_open_access_int,has_fulltext_int,oa_cat_fully_open,oa_cat_partially_open,oa_cat_closed,impact_tier
2022,4,97,1778,14,19,1,11,232,0.0546,0.1422,0,1,0,1,0,1,0,0,high
2023,3,79,982,9,9,1,10,140,0.0804,0.1286,0.3333,0,0.3333,1,1,1,0,0,high
2022,4,37,1229,6,7,1,5,169,0.0301,0.0769,0,1,0,0,0,0,0,1,high
2022,4,160,1407,7,7,1,18,200,0.1137,0.07,0,1,0,1,1,0,1,0,high
2023,3,97,1549,20,21,1,12,212,0.0626,0.1934,0.3333,0,0.3333,1,1,0,1,0,high
2023,3,56,1147,10,13,1,7,177,0.0488,0.1299,0.3333,1,0.3333,1,1,1,0,0,high
2022,4,127,1168,9,10,1,13,167,0.1087,0.1138,0,1,0,1,1,1,0,0,high
2022,4,83,1922,7,8,1,12,271,0.0432,0.0554,0,1,0,1,1,0,1,0,high
2022,4,117,1283,13,14,1,17,167,0.0912,0.1617,0,1,0,0,0,0,0,1,high
2024,2,96,1580,14,21,1,11,213,0.0608,0.1643,0.6667,0,0.6667,0,0,0,0,1,high
2023,3,123,1578,14,16,1,16,223,0.0779,0.1345,0.3333,1,0.3333,1,1,0,1,0,high
2022,4,43,1077,10,13,1,7,162,0.0399,0.142,0,1,0,1,1,1,0,0,high
2024,2,55,1501,11,11,1,8,215,0.0366,0.1023,0.6667,1,0.6667,0,0,0,0,1,high
2022,4,56,1469,9,9,1,8,206,0.0381,0.0874,0,1,0,1,1,1,0,0,high
2022,4,65,1178,15,18,1,10,157,0.0552,0.2102,0,1,0,1,1,1,0,0,high
2024,2,49,1326,7,11,1,7,180,0.037,0.1,0.6667,0,0.6667,0,0,0,0,1,high
2023,3,90,1303,14,19,1,13,178,0.0691,0.1854,0.3333,1,0.3333,1,1,1,0,0,high
2023,3,64,1680,7,8,1,12,248,0.0381,0.0605,0.3333,1,0.3333,1,1,1,0,0,high
2023,3,67,1012,15,25,1,9,152,0.0662,0.2632,0.3333,0,0.3333,1,1,1,0,0,high
2022,4,82,798,19,30,1,9,112,0.1028,0.4375,0,0,0,1,1,0,1,0,high
2023,3,129,1439,13,19,1,16,188,0.0896,0.1702,0.3333,1,0.3333,1,1,1,0,0,high
2023,3,137,1266,3,3,1,17,187,0.1082,0.0321,0.3333,1,0.3333,1,1,1,0,0,high
2022,4,57,913,9,13,1,8,135,0.0624,0.163,0,1,0,1,1,1,0,0,high
2023,3,52,1665,15,17,1,6,232,0.0312,0.1379,0.3333,1,0.3333,0,0,0,0,1,high
2023,3,87,1447,13,14,1,11,206,0.0601,0.1311,0.3333,1,0.3333,1,1,1,0,0,high
2022,4,32,393,11,11,1,5,67,0.0814,0.3284,0,0,0,1,1,0,1,0,high
2022,4,119,1336,13,18,1,14,169,0.0891,0.1834,0,0,0,1,1,1,0,0,high
2023,3,138,2003,5,5,1,19,282,0.0689,0.0355,0.3333,1,0.3333,1,1,1,0,0,high
2022,4,42,1157,17,23,1,5,179,0.0363,0.2235,0,1,0,1,0,1,0,0,high
2023,3,72,1029,10,12,1,8,150,0.07,0.1467,0.3333,1,0.3333,1,1,1,0,0,high
2022,4,72,1659,15,21,1,10,238,0.0434,0.1513,0,1,0,1,1,0,1,0,high
2022,4,122,1550,15,15,1,13,217,0.0787,0.1382,0,1,0,1,NA,1,0,0,high
2023,3,94,1034,14,14,1,10,132,0.0909,0.2121,0.3333,1,0.3333,0,0,0,0,1,high
2023,3,48,698,8,8,1,7,97,0.0688,0.1649,0.3333,1,0.3333,1,1,1,0,0,high
2022,4,151,2270,11,18,1,21,327,0.0665,0.0887,0,1,0,1,0,1,0,0,high
2022,4,75,1046,8,10,1,12,140,0.0717,0.1286,0,1,0,1,1,1,0,0,high
2023,3,95,1137,7,7,1,13,145,0.0836,0.0966,0.3333,0,0.3333,1,1,1,0,0,high
2024,2,47,1111,6,8,1,7,152,0.0423,0.0921,0.6667,1,0.6667,1,0,1,0,0,high
2024,2,53,1449,7,9,1,6,196,0.0366,0.0816,0.6667,0,0.6667,1,1,0,1,0,high
2025,1,66,1445,9,10,1,10,210,0.0457,0.0905,1,0,1,1,1,0,1,0,high
2023,3,103,1101,13,13,1,19,174,0.0936,0.1494,0.3333,0,0.3333,0,0,0,0,1,high
2023,3,88,1572,9,10,1,11,224,0.056,0.0848,0.3333,1,0.3333,1,1,1,0,0,high
2022,4,90,998,21,22,1,10,135,0.0902,0.3185,0,1,0,1,1,1,0,0,high
2022,4,118,932,10,10,1,15,147,0.1266,0.1361,0,1,0,1,1,1,0,0,high
2025,1,73,1215,8,19,1,8,155,0.0601,0.1742,1,1,1,1,1,0,1,0,high
2023,3,65,1162,9,10,1,9,161,0.0559,0.118,0.3333,1,0.3333,1,1,0,1,0,high
2022,4,79,1587,9,17,1,9,224,0.0498,0.1161,0,1,0,1,1,0,1,0,high
2023,3,53,1293,10,15,1,7,176,0.041,0.142,0.3333,0,0.3333,1,1,0,1,0,high
2022,4,80,937,21,25,1,12,132,0.0854,0.3485,0,1,0,1,1,1,0,0,high
2023,3,68,785,14,17,1,10,112,0.0866,0.2768,0.3333,1,0.3333,1,1,0,1,0,high
2023,3,107,2385,13,18,1,15,328,0.0449,0.0945,0.3333,1,0.3333,1,1,1,0,0,high
2022,4,71,1660,14,17,1,9,229,0.0428,0.1354,0,1,0,1,1,0,1,0,high
2022,4,112,1043,13,20,1,14,147,0.1074,0.2245,0,1,0,1,1,1,0,0,high
2023,3,93,1074,8,9,1,12,162,0.0866,0.1049,0.3333,0,0.3333,1,1,0,1,0,high
2022,4,58,1826,7,8,1,7,245,0.0318,0.0612,0,1,0,1,1,0,1,0,high
2023,3,82,1216,13,15,1,8,151,0.0674,0.1854,0.3333,0,0.3333,1,1,1,0,0,high
2023,3,79,1869,6,6,1,12,258,0.0423,0.0465,0.3333,0,0.3333,1,1,1,0,0,high
2022,4,54,1795,8,10,1,6,249,0.0301,0.0723,0,1,0,0,0,0,0,1,high
2022,4,113,1292,16,20,1,13,168,0.0875,0.2143,0,1,0,1,1,1,0,0,high
2022,4,77,728,13,18,1,10,103,0.1058,0.301,0,0,0,0,0,0,0,1,high
2023,3,94,651,19,23,1,13,91,0.1444,0.4615,0.3333,1,0.3333,1,1,1,0,0,high
2022,4,121,1802,12,14,1,15,255,0.0671,0.102,0,0,0,1,1,1,0,0,high
2022,4,102,1428,11,11,1,12,204,0.0714,0.10780000000000001,0,1,0,1,1,1,0,0,high
